Designator,Mid X,Mid Y,Rotation,Layer
C1,66.8,11.2,180.0,top
C10,64.5,29.3,180.0,top
C11,63.7,26.3,270.0,top
C12,61.07,16.8,0.0,top
C13,60.6,18.875,90.0,top
C14,23.06145,5.4,180.0,top
C15,24.06145,3.7,270.0,top
C16,22.56145,3.3,0.0,top
C17,16.06145,6.1,0.0,top
C18,18.66145,2.1,180.0,top
C19,16.06145,0.9,0.0,top
C2,66.8,16.1,180.0,top
C20,22.56145,1.5,0.0,top
C21,34.6,8.8999,180.0,top
C22,37.7,7.2,0.0,top
C23,37.675,8.7999,0.0,top
C24,30.025,4.4998,180.0,top
C25,30.025,2.9998,180.0,top
C26,30.05,1.3998,180.0,top
C27,32.25,5.2998,90.0,top
C28,57.6,21.4,180.0,bottom
C29,61.3,25.2,180.0,bottom
C3,66.8,15.1,180.0,top
C30,52.8,21.4,180.0,bottom
C31,51.9,9.7,0.0,bottom
C32,57.3,9.7,180.0,bottom
C33,60.91,7.47,90.0,top
C34,12.1,23.8,0.0,bottom
C35,2.8,24.2,0.0,bottom
C36,7.4,24.2,180.0,bottom
C37,14.5,2.8,180.0,bottom
C38,14.5,7.4,180.0,bottom
C39,14.5,5.1,180.0,bottom
C4,66.77,13.05,180.0,top
C40,28.08,26.3,180.0,top
C41,28.08,27.5525,180.0,top
C42,48.3,6.8,90.0,top
C43,48.4,4.8,0.0,top
C44,17.505,22.2725,270.0,top
C45,17.7,17.45,90.0,top
C46,45.4,13.975,270.0,bottom
C47,47.75,13.975,270.0,bottom
C48,50.1,13.975,270.0,bottom
C49,28.0,25.1,180.0,top
C5,66.781769,14.1,180.0,top
C6,69.8,26.0,90.0,top
C7,71.4,26.0,90.0,top
C8,64.3,16.6,0.0,top
C9,65.0,13.375,270.0,top
D1,11.7,12.762,180.0,top
D2,12.1,18.5,180.0,top
D3,28.8,29.9,180.0,top
D4,25.1,29.9,180.0,top
D5,21.2875,29.9,180.0,top
FL1,15.2,12.7,90.0,top
J1,70.35,15.75,90.0,top
J10,13.4,26.0,90.0,top
J11,4.7,26.0,90.0,top
J12,4.7,22.4,90.0,top
J13,4.6,7.6,90.0,top
J14,4.6,4.0,90.0,top
J15,10.9,5.1,0.0,top
J16,22.4,25.65,0.0,bottom
J17,52.3,15.4,0.0,top
J18,55.2,15.4,0.0,top
J19,58.1,15.4,0.0,top
J2,5.0325,15.5,270.0,top
J20,68.2,5.7,270.0,top
J3,63.0,20.8,0.0,top
J4,52.0,26.225,180.0,top
J5,54.91,26.225,180.0,top
J6,57.8,26.215,180.0,top
J7,57.6,4.9,180.0,top
J8,54.7,4.9,180.0,top
J9,51.8,4.91,180.0,top
L1,20.96145,9.5,180.0,top
L2,34.0,2.4998,180.0,top
Q1,14.3375,22.25,180.0,top
R1,66.5,10.0,0.0,top
R2,68.31,23.9,180.0,top
R23,6.5,16.51,270.0,bottom
R24,6.5,14.5,90.0,bottom
R25,13.5,15.9,0.0,top
R26,10.4,15.9,0.0,top
R27,15.36145,3.8,90.0,top
R28,16.86145,3.8,270.0,top
R29,18.66145,0.9,0.0,top
R3,66.11,23.9,180.0,top
R30,37.2,4.6999,270.0,top
R31,32.3,8.4,90.0,top
R32,30.7,8.4,270.0,top
R33,28.0,23.9,180.0,top
R34,28.0,20.6,180.0,top
R35,28.0,22.3,180.0,top
R36,28.7,28.5,0.0,top
R37,25.1,28.5,0.0,top
R38,21.3,28.5,0.0,top
R39,23.905,21.4725,0.0,top
R4,66.77,12.05,0.0,top
R40,22.905,19.0725,270.0,top
R41,22.905,17.0,90.0,top
R5,61.8,11.4,0.0,top
SW1,28.05,15.875,270.0,top
SW2,27.4,8.6,90.0,top
TH1,24.805,18.0225,90.0,bottom
U1,40.3,20.71,0.0,top
U2,66.6,26.3,180.0,top
U3,62.2,14.5,180.0,top
U4,19.761451,4.275,0.0,top
U5,34.65,5.8998,90.0,top
U6,43.6,4.92,0.0,top
U8,20.305,18.9725,0.0,top
